,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
88,Pygmalion,Drugs and Chemicals,Psychedelics,5-MeO-DMT,5-MeO-DMT,100mg 5-MeO-DMT,47.73,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100mg-5-meo-dmt
89,EUROSHOPPER,Drugs and Chemicals,Ecstasy,,Ecstasy,5000x XTC - GREY MASERATI - 270MG MDMA,"5,489.18",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5000x-xtc-grey-maserati-270mg-mdma
90,MedicineMan420,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,Weed Jellies 200MG (Assorted),41.71,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/weed-jellies-200mg-assorted
91,ozconnection,Drugs and Chemicals,Opiates,Heroin,Heroin,*PREMIUM* 1.0 gram White Heroin AUSTRALIA,550.00,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/premium-10-gram-white-heroin-australia
92,themodsquad,Drugs and Chemicals,Stimulants,,Stimulants,10-ct Modalert 200mg (modafinil) FREE SHIPPING,38.88,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-ct-modalert-200mg-modafinil-free-shipping
93,fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g purple punch,618.65,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-purple-punch
94,thequickening,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,US-US 10mg Valium Kern Pharma in sealed blisters,2.50,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/us-us-10mg-valium-kern-pharma-in-sealed-blisters
95,DutchGlory,Drugs and Chemicals,Opiates,Heroin,Heroin,★ 3 GR  ★Turkish Heroin ★( #4 ) - ★Free Shipping ★,101.43,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3-gr-turkish-heroin-4-free-shipping-1
96,LittleBits,Drugs and Chemicals,Psychedelics,LSD,LSD,LSD. Gamma Goblin 105ug x10,48.66,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/lsd-gamma-goblin-105ug-x10
97,PSteroids,Drugs and Chemicals,Steroids,,Steroids,Testosterone Propionate 100 mg/ml 10ml Jera Labs,19.69,Lithuania,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/testosterone-propionate-100-mgml-10ml-jera-labs
98,streetoysters,Drugs and Chemicals,,,Drugs and Chemicals,100 XANAX B707s,150.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-xanax-b707s
99,ChemistWarehouse,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,3-HO-PCP - 250mg,155.03,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3-ho-pcp-250mg
100,EUROSHOPPER,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,250g Ketamine-S (Needles/Shards),"3,878.22",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250g-ketamine-s-needlesshards
101,donalddrugs,Drugs and Chemicals,Ecstasy,Pills,Pills,10x 240mg MyBrand ECSTASY 20eu [Freeship],23.87,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-240mg-mybrand-ecstasy-20eu-freeship
102,TulipNL,Drugs and Chemicals,Ecstasy,Pills,Pills,50x 🇳🇱 280MG - AudiRS - AAA+++ XTC PILLS,105.01,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50x-280mg-audirs-aaa-xtc-pills
103,Pegasus,Drugs and Chemicals,,,Drugs and Chemicals,"How To Hack Any Account On Internet(Gmail, PayPal)",10.00,,,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/how-to-hack-any-account-on-internetgmail-paypal
104,HulkGod,Drugs and Chemicals,Benzos,Pills,Pills,S903 Xanax Hulks 4MG Alprazolam x 10000,"5,400.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/s903-xanax-hulks-4mg-alprazolam-x-10000
105,akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Stablon 12.5mg (Tianeptine) 100 Tablets,45.00,India,"United Kingdom, United States",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/stablon-125mg-tianeptine-100-tablets
106,MrWhite247,Drugs and Chemicals,Psychedelics,LSD,LSD,5 LSD Sunshines 160MG,41.77,Ireland,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-lsd-sunshines-160mg
107,DutchPharmacy,Drugs and Chemicals,Psychedelics,LSD,LSD,500  X 240 UG GANESHA LSD BLOTTERS,"1,491.62",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-x-240-ug-ganesha-lsd-blotters
108,Epharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,28 TABS ZOLPIDEM 10MG,33.37,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-tabs-zolpidem-10mg
109,TOMOROWLAND,Drugs and Chemicals,Ecstasy,MDMA,MDMA,3.5G MDMA MOONROCK natural product 85-87% pure,145.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-mdma-moonrock-natural-product-85-87-pure
110,TonysDrugsStore,Drugs and Chemicals,Stimulants,Speed,Speed,Best Amphetamine Speed Paste 28 gram,137.63,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/best-amphetamine-speed-paste-28-gram
111,GreenService,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,14G LEMON DUST/SHAKE (CHEAPEST SHAKE),34.76,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-lemon-dustshake-cheapest-shake
112,FriendlyFarms,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,$325 - 4 Oz Golden Teachers,325.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/325-4-oz-golden-teachers
113,Heroinfactoryy,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,25x Pure Dutch Pre Rolled Amnesia / Haze Joints,134.25,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25x-pure-dutch-pre-rolled-amnesia-haze-joints
114,kenza,Drugs and Chemicals,Steroids,,Steroids,British Dragon Oxydrol (Anadrol) 50mg x 100,90.36,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/british-dragon-oxydrol-anadrol-50mg-x-100
115,drogenmeister,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1-500 gram * Extremely high quality uncut COCAINE,1.19,Netherlands,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-500-gram-extremely-high-quality-uncut-cocaine-3
116,drugsukstore,Drugs and Chemicals,,,Drugs and Chemicals,0.5g HIGH PURITY SOCIABLE COCAINE,41.71,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05g-high-purity-sociable-cocaine
117,TulipNL,Drugs and Chemicals,Ecstasy,Pills,Pills,10x 🇳🇱 280MG - AudiRS - AAA+++ XTC PILLS,25.06,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-280mg-audirs-aaa-xtc-pills
118,messiah,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,*30/80MG* PURE Oxycodone DIRECT PHARMACY 100PILLS,"1,230.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3080mg-pure-oxycodone-direct-pharmacy-100pills
119,Coffeshop,Drugs and Chemicals,Stimulants,Meth,Meth,*** 5 GRAM *** CRYSTAL METH SHARDS ORIGINAL 99% EF,149.16,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gram-crystal-meth-shards-original-99-ef
120,upsworldwide,Drugs and Chemicals,Stimulants,,Stimulants,Viagra 100mg 100 tabs,55.61,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-100mg-100-tabs
121,DrRelax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Orange Cookies 28 grams,262.75,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/orange-cookies-28-grams
122,DrBlow,Drugs and Chemicals,Opiates,Heroin,Heroin,2G Top-Quality #4 Heroin  USA-USA,310.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-top-quality-4-heroin-usa-usa-1
123,weedworldwide,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,Test The Water Pack,190.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/test-the-water-pack
124,Copek,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,5G HASH HQ,59.66,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-hash-hq-1
125,CoffeeshopTM,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,6g of HYDRO grown Mr Nice G13 (AAA+++) coffeeshop,93.08,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/6g-of-hydro-grown-mr-nice-g13-aaa-coffeeshop
126,TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,LISINOPRIL (Prinivil) Lispro 10mg 50 tabs,35.00,India,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/lisinopril-prinivil-lispro-10mg-50-tabs
127,cerberusuk,Drugs and Chemicals,,,Drugs and Chemicals,Cerberus Pharma Melanotan 2 10mg kit,40.00,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cerberus-pharma-melanotan-2-10mg-kit
128,PSteroids,Drugs and Chemicals,Steroids,,Steroids,HGH 176-191 Fragment 5mg/vial Hilma Biocare,48.57,Lithuania,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hgh-176-191-fragment-5mgvial-hilma-biocare
129,StreetLegend,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1 GR (S) Ketamine (S) - Free Worldwide Shipping,25.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-s-ketamine-s-free-worldwide-shipping-5
130,StrainPirate,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,5x 0.5g Psilocybin Capsules,33.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5x-05g-psilocybin-capsules
131,exclusivepharma,Drugs and Chemicals,Benzos,Pills,Pills,Pharma Valium 10mg (DIZZY-10) 60 tabs,52.83,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pharma-valium-10mg-dizzy-10-60-tabs
132,drkend,Drugs and Chemicals,Dissociatives,GBL,GBL,Buy Gamma Butyrolactone (GBL) online (50 L ),"6,200.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-gamma-butyrolactone-gbl-online-50-l
133,Pygmalion,Drugs and Chemicals,Stimulants,4-FA,4-FA,500mg 4-FA,31.62,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500mg-4-fa
134,tomandjerry,Drugs and Chemicals,Psychedelics,LSD,LSD,1000 x 250 ug LSD blotters (stamps),"2,599.00",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-x-250-ug-lsd-blotters-stamps
135,megadrug3,Drugs and Chemicals,Opiates,Codeine,Codeine,Codeine   Promathezine  LIQUID 200ml,"1,300.00",United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/codeine-promathezine-liquid-200ml
136,California420Service,Drugs and Chemicals,Cannabis & Hash,Seeds,Seeds,Sour OG x Purple Alien(10 seeds),111.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sour-og-x-purple-alien10-seeds
137,NarcoTraficante,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,*Begrenset mengde* 5g Super Silver Haze,165.63,Norway,Norway,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/begrenset-mengde-5g-super-silver-haze
138,California420Service,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,BUBBA KUSH 56g AA Grade Cannabis,200.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/bubba-kush-56g-aa-grade-cannabis
139,LaFarmacia,Drugs and Chemicals,Stimulants,Meth,Meth,2g crystal diamond meth methamphetamine,50.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-crystal-diamond-meth-methamphetamine
140,California420Service,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,Flav WATERMELON Sour Gummy Belts 100mg,50.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/flav-watermelon-sour-gummy-belts-100mg
141,SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Test Enanthate- 10×250 mg/1ml- Balkan - exp. 2022,83.53,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/test-enanthate-10250-mg1ml-balkan-exp-2022
142,luckygambino,Drugs and Chemicals,Opiates,Heroin,Heroin,1G Black Tar,75.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-black-tar
143,WeedShopHulk,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,5G Gorilla Glue,71.60,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-gorilla-glue
144,DutchPharmacy,Drugs and Chemicals,Stimulants,,Stimulants,100 GRAM 4MMC / Mephedrone rocks HQ,"1,044.14",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-gram-4mmc-mephedrone-rocks-hq
145,SunshineShop,Drugs and Chemicals,Psychedelics,LSD,LSD,100x 100ug Mickeys White Fluff LSD-25,178.99,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100x-100ug-mickeys-white-fluff-lsd-25
146,positivevibes420,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,Dispensary Live Rosin Gummies 10 x 10 100MG Total!,40.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/dispensary-live-rosin-gummies-10-x-10-100mg-total
147,MisterX,Drugs and Chemicals,Stimulants,Meth,Meth,25GR x CRYSTAL METH ICE x HIGH QUALITY x 22EU P/G,656.31,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25gr-x-crystal-meth-ice-x-high-quality-x-22eu-pg
148,jnenfrancis,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28G PP200 HASH **FREE UK DELIVERY**,286.04,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-pp200-hash-free-uk-delivery
149,LordOfWeed,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,25g StarBud 20%THC 10% Free 135€,161.10,Greece,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25g-starbud-20thc-10-free-135-1
150,maurelius,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,14g Star Dawg 105£,145.97,United Kingdom,"United Kingdom, Ireland",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-star-dawg-105
151,TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,+EUROPE RETAIL+ VIAGRA (sildenafil) 50 Tabs 100mg,39.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/europe-retail-viagra-sildenafil-50-tabs-100mg
152,pharmacy8170,Drugs and Chemicals,Opiates,,Opiates,Tapendatol 100mg (Nycynta)  100 pills for $75,75.00,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/tapendatol-100mg-nycynta-100-pills-for-75
153,drugsukstore,Drugs and Chemicals,,,Drugs and Chemicals,14g AMNESIA HAZE CANNABIS,215.48,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-amnesia-haze-cannabis
154,auspride,Drugs and Chemicals,,,Drugs and Chemicals,Paxam 2 mg Clonazepam Australia Pharma Benzo,231.78,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/paxam-2-mg-clonazepam-australia-pharma-benzo
155,DrugzDealerNRW,Drugs and Chemicals,Stimulants,Meth,Meth,15g Crystal Meth 97% (Lab. Tested),835.31,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/15g-crystal-meth-97-lab-tested
156,radarbreeder,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SUPER SILVER HAZE A+ 7G,86.19,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/super-silver-haze-a-7g
157,bulkbars,Drugs and Chemicals,Benzos,Powder,Powder,REAL ALPRAZOLAM POWDER X500g CHINA - USA,"15,000.00",China,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/real-alprazolam-powder-x500g-china-usa
158,PremierLeague,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,5 grams  JAMAICAN HIGH GRADE no seeds,22.24,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-grams-jamaican-high-grade-no-seeds
159,cmoney345,Drugs and Chemicals,Benzos,Pills,Pills,xanex 1.0 real pills  and 2.0 xanax real pills  10,200.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanex-10-real-pills-and-20-xanax-real-pills-10
160,PianoKeyz,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,(Pharmacy) Adderal 30mg XR Capsules,15.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pharmacy-adderal-30mg-xr-capsules
161,kandykones,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,SALE Wedding Cake THC VAPE JUICE 1000MG 1LITR - WW,834.14,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sale-wedding-cake-thc-vape-juice-1000mg-1litr-ww
162,RoyalMailer,Drugs and Chemicals,Ecstasy,Pills,Pills,250x Blue Heisenberg XTC 220mg IMPORT - UK,722.92,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250x-blue-heisenberg-xtc-220mg-import-uk
163,Syndikat,Drugs and Chemicals,Opiates,Heroin,Heroin,1g B+++ Afghan X Heroin,41.77,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-b-afghan-x-heroin
164,Pygmalion,Drugs and Chemicals,Psychedelics,DMT,DMT,1g pure DMT,71.60,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-pure-dmt
165,ShinyFlakez,Drugs and Chemicals,Stimulants,Speed,Speed,2.5 Kilo Top Quality Speed-Paste,"1,789.95",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-kilo-top-quality-speed-paste
166,globalcokeuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 3.5 gram -  NOTORIOUS SOCIABLE COCAINE,215.48,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-gram-notorious-sociable-cocaine
167,MycoGrade,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,SPECIAL! 7grams PENIS ENVY $50 FREE GIFT!,50.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/special-7grams-penis-envy-50-free-gift
168,flow,Drugs and Chemicals,Stimulants,,Stimulants,1 X 30MG ADDERALL,8.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-x-30mg-adderall
169,NextLevel,Drugs and Chemicals,Psychedelics,LSD,LSD,10x LSD Smiley 150ug Worldwide Shipping,58.47,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-lsd-smiley-150ug-worldwide-shipping
170,jnenfrancis,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5G UNCUT RAW COCAINE **FREE UK DELIVERY**,291.93,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-uncut-raw-cocaine-free-uk-delivery
171,PremierLeague,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,14x Pills OXYCODONE 20MG PHARMA PRODUCT,116.78,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14x-pills-oxycodone-20mg-pharma-product
172,Venture,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,50gr (S) Variant Ketamine,566.82,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50gr-s-variant-ketamine
173,DrBlow,Drugs and Chemicals,Stimulants,Meth,Meth,7G Top Quality Meth USA-USA,350.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-top-quality-meth-usa-usa
174,happyshopper,Drugs and Chemicals,Benzos,Pills,Pills,12x 2MG XANAX BARS,20.85,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/12x-2mg-xanax-bars
175,RS7,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,**(4.5G)** Pure Colombian Cocaine (UNCUT),322.19,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/45g-pure-colombian-cocaine-uncut
176,drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy Ketamine HCL Crystal Powder Online (1kg ),"9,000.00",Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-ketamine-hcl-crystal-powder-online-1kg
177,bestgroup,Drugs and Chemicals,Steroids,,Steroids,BOLDENONE SUBLINGUAL DROPS 40 MG/ML MONSTERLAB,50.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/boldenone-sublingual-drops-40-mgml-monsterlab
178,evergreens,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,20G Chocolate Mint OG,226.00,Spain,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/20g-chocolate-mint-og
